unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1675576800,2023-02-05 06:00:00,BTC/USDT,23370,23425,23356,23425,0.45760069,10719.29616325
1675573200,2023-02-05 05:00:00,BTC/USDT,23358,23358,23358,23358,0.00000000,0.0
1675569600,2023-02-05 04:00:00,BTC/USDT,23358,23358,23358,23358,0.00311635,72.7917033
1675566000,2023-02-05 03:00:00,BTC/USDT,23327,23333,23320,23333,0.70374639,16420.51451787
1675562400,2023-02-05 02:00:00,BTC/USDT,23345,23345,23344,23344,0.43000000,10037.92
1675558800,2023-02-05 01:00:00,BTC/USDT,23282,23307,23281,23307,0.06530956,1522.16991492
1675555200,2023-02-05 00:00:00,BTC/USDT,23334,23345,23258,23258,1.13848723,26478.935995339998
1675551600,2023-02-04 23:00:00,BTC/USDT,23424,23424,23314,23315,1.03746186,24188.4232659
1675548000,2023-02-04 22:00:00,BTC/USDT,23416,23419,23403,23405,0.50612690,11845.9000945
1675544400,2023-02-04 21:00:00,BTC/USDT,23406,23423,23397,23422,0.53377737,12502.13356014
1675540800,2023-02-04 20:00:00,BTC/USDT,23426,23437,23411,23426,0.04403319,1031.52150894
1675537200,2023-02-04 19:00:00,BTC/USDT,23454,23454,23444,23450,0.40864030,9582.615035
1675533600,2023-02-04 18:00:00,BTC/USDT,23425,23425,23425,23425,0.01000000,234.25
1675530000,2023-02-04 17:00:00,BTC/USDT,23443,23443,23443,23443,0.00000000,0.0
1675526400,2023-02-04 16:00:00,BTC/USDT,23407,23443,23395,23443,0.17211913,4034.9887645900003
1675522800,2023-02-04 15:00:00,BTC/USDT,23430,23430,23398,23398,0.10236264,2395.08105072
1675519200,2023-02-04 14:00:00,BTC/USDT,23481,23481,23481,23481,0.02321267,545.0567042700001
1675515600,2023-02-04 13:00:00,BTC/USDT,23488,23571,23475,23528,1.34441505,31631.397296400002
1675512000,2023-02-04 12:00:00,BTC/USDT,23382,23411,23356,23408,0.07307248,1710.48061184
1675508400,2023-02-04 11:00:00,BTC/USDT,23360,23370,23360,23365,0.37505085,8763.06311025
1675504800,2023-02-04 10:00:00,BTC/USDT,23341,23363,23334,23363,0.10422169,2434.9313434700002
1675501200,2023-02-04 09:00:00,BTC/USDT,23324,23350,23323,23333,1.62265551,37861.42101483
1675497600,2023-02-04 08:00:00,BTC/USDT,23340,23340,23310,23310,0.00526265,122.6723715
1675494000,2023-02-04 07:00:00,BTC/USDT,23321,23345,23305,23334,1.19834452,27962.17102968
1675490400,2023-02-04 06:00:00,BTC/USDT,23266,23340,23266,23340,0.15485949,3614.4204965999998
1675486800,2023-02-04 05:00:00,BTC/USDT,23320,23320,23292,23292,0.47786171,11130.35494932
1675483200,2023-02-04 04:00:00,BTC/USDT,23337,23361,23316,23316,0.30171934,7034.8881314400005
1675479600,2023-02-04 03:00:00,BTC/USDT,23378,23378,23378,23378,0.02980416,696.76165248
1675476000,2023-02-04 02:00:00,BTC/USDT,23376,23386,23376,23386,0.91427405,21381.212933299998
1675472400,2023-02-04 01:00:00,BTC/USDT,23433,23433,23414,23414,0.01237432,289.73232848
1675468800,2023-02-04 00:00:00,BTC/USDT,23430,23451,23402,23451,1.29343107,30332.25202257
1675465200,2023-02-03 23:00:00,BTC/USDT,23441,23471,23421,23434,1.26443708,29630.81853272
1675461600,2023-02-03 22:00:00,BTC/USDT,23390,23433,23387,23433,0.21892175,5129.99336775
1675458000,2023-02-03 21:00:00,BTC/USDT,23336,23374,23336,23374,0.40375747,9437.42710378
1675454400,2023-02-03 20:00:00,BTC/USDT,23248,23398,23244,23355,3.48172672,81315.7275456
1675450800,2023-02-03 19:00:00,BTC/USDT,23416,23436,23357,23400,0.82674467,19345.825278
1675447200,2023-02-03 18:00:00,BTC/USDT,23519,23519,23406,23435,1.38751185,32516.340204750002
1675443600,2023-02-03 17:00:00,BTC/USDT,23515,23635,23511,23517,1.37810851,32408.97782967
1675440000,2023-02-03 16:00:00,BTC/USDT,23625,23697,23535,23540,2.38605491,56167.7325814
1675436400,2023-02-03 15:00:00,BTC/USDT,23506,23698,23432,23611,5.03240200,118820.04362200001
1675432800,2023-02-03 14:00:00,BTC/USDT,23315,23580,23244,23512,2.26579690,53273.4167128
1675429200,2023-02-03 13:00:00,BTC/USDT,23529,23532,23281,23324,6.58231566,153525.93045384
1675425600,2023-02-03 12:00:00,BTC/USDT,23495,23548,23495,23537,0.48302659,11368.99684883
1675422000,2023-02-03 11:00:00,BTC/USDT,23434,23536,23430,23536,4.31716548,101608.80673728
1675418400,2023-02-03 10:00:00,BTC/USDT,23402,23441,23402,23429,0.13800247,3233.2598696299997
1675414800,2023-02-03 09:00:00,BTC/USDT,23407,23439,23407,23424,0.21594111,5058.20456064
1675411200,2023-02-03 08:00:00,BTC/USDT,23411,23414,23342,23388,0.38702128,9051.65369664
1675407600,2023-02-03 07:00:00,BTC/USDT,23514,23521,23470,23470,0.32630000,7658.2609999999995
1675404000,2023-02-03 06:00:00,BTC/USDT,23538,23538,23519,23519,0.06187507,1455.23977133
1675400400,2023-02-03 05:00:00,BTC/USDT,23537,23537,23525,23525,0.33842576,7961.466004000001
1675396800,2023-02-03 04:00:00,BTC/USDT,23546,23550,23546,23550,0.15301558,3603.5169090000004
1675393200,2023-02-03 03:00:00,BTC/USDT,23477,23529,23420,23529,0.66086734,15549.547642860001
1675389600,2023-02-03 02:00:00,BTC/USDT,23566,23567,23443,23480,1.43667462,33733.1200776
1675386000,2023-02-03 01:00:00,BTC/USDT,23548,23574,23536,23553,0.05051332,1189.74022596
1675382400,2023-02-03 00:00:00,BTC/USDT,23507,23562,23507,23555,0.67484165,15895.895065749999
1675378800,2023-02-02 23:00:00,BTC/USDT,23591,23596,23430,23473,1.45695052,34198.99955596
1675375200,2023-02-02 22:00:00,BTC/USDT,23419,23577,23400,23577,0.84562169,19937.22258513
1675371600,2023-02-02 21:00:00,BTC/USDT,23863,23892,23419,23463,3.43738011,80651.24952093
1675368000,2023-02-02 20:00:00,BTC/USDT,23782,23822,23765,23822,0.97285961,23175.46162942
1675364400,2023-02-02 19:00:00,BTC/USDT,24069,24073,23748,23821,4.66916566,111224.19518686
1675360800,2023-02-02 18:00:00,BTC/USDT,23971,24113,23940,24093,4.94487354,119136.83819921999
1675357200,2023-02-02 17:00:00,BTC/USDT,23807,23918,23807,23918,1.62048105,38758.6657539
1675353600,2023-02-02 16:00:00,BTC/USDT,23835,23891,23777,23803,1.58582749,37747.45174447
1675350000,2023-02-02 15:00:00,BTC/USDT,23565,23805,23555,23794,2.54623625,60585.145332500004
1675346400,2023-02-02 14:00:00,BTC/USDT,23790,23945,23570,23570,2.45559228,57878.31003959999
1675342800,2023-02-02 13:00:00,BTC/USDT,23791,23813,23724,23724,10.62048297,251960.33798028
1675339200,2023-02-02 12:00:00,BTC/USDT,23807,23810,23770,23802,2.33407046,55555.54508892
1675335600,2023-02-02 11:00:00,BTC/USDT,23810,23838,23810,23838,0.03347383,797.9491595400001
1675332000,2023-02-02 10:00:00,BTC/USDT,23819,23819,23775,23775,0.33280500,7912.438875000001
1675328400,2023-02-02 09:00:00,BTC/USDT,23797,23806,23759,23759,0.90199034,21430.38848806
1675324800,2023-02-02 08:00:00,BTC/USDT,23815,23839,23797,23800,1.19911349,28538.901062
1675321200,2023-02-02 07:00:00,BTC/USDT,23785,23829,23747,23747,1.04370368,24784.83128896
1675317600,2023-02-02 06:00:00,BTC/USDT,23824,23826,23682,23792,2.36557904,56281.856519680005
1675314000,2023-02-02 05:00:00,BTC/USDT,23905,23906,23847,23848,3.09958450,73918.891156
1675310400,2023-02-02 04:00:00,BTC/USDT,23869,23910,23855,23896,3.28533111,78506.27220456
